lemma_id,lemma,in_model,nhg_infinitive,nhg_preterite,nhg_preterite_variants,variant_selection,confidence,source_infinitive,source_preterite,curator_note
201,stinken,yes,stinken,stank,stank,single,high,dwds,unimorph-deu-d226d21,
62,streit,yes,streiten,stritt,stritt,single,high,dwds,unimorph-deu-d226d21,
204,strîchen,yes,streichen,strich,strich,single,high,dwds,unimorph-deu-d226d21,
198,stëlen,yes,stehlen,stahl,stahl,single,high,dwds,unimorph-deu-d226d21,
199,stîgen,yes,steigen,stieg,stieg,single,high,dwds,unimorph-deu-d226d21,
184,swimmen,yes,schwimmen,schwamm,schwamm|schwomm,policy,policy,dwds,unimorph-deu-d226d21,schwomm has dropped out of the standard language
186,swingen,yes,schwingen,schwang,schwang,single,high,dwds,unimorph-deu-d226d21,
185,swinten,yes,schwinden,schwand,schwand,single,high,dwds,unimorph-deu-d226d21,
57,swèren,yes,schwören,schwor,schwor,single,high,dwds,unimorph-deu-d226d21,
183,swîgen,yes,schweigen,schwieg,schwieg,single,high,dwds,unimorph-deu-d226d21,
170,sûgen,yes,saugen,sog,sog|saugte,policy,policy,dwds,unimorph-deu-d226d21,strong form still current
11,tragen,yes,tragen,trug,trug,single,high,dwds,unimorph-deu-d226d21,
64,treffen,yes,treffen,traf,traf,single,high,dwds,unimorph-deu-d226d21,
13,treten,yes,treten,trat,trat,single,high,dwds,unimorph-deu-d226d21,
211,triefen,yes,triefen,troff,troff|triefte,policy,policy,dwds,unimorph-deu-d226d21,"the strong troff is still current, if literary; triefte is the commoner variant, which makes this the weakest call in this table"
98,trinken,yes,trinken,trank,trank,single,high,dwds,unimorph-deu-d226d21,
87,trinnen,yes,entrinnen,entrann,entrann,single,high,dwds,unimorph-deu-d226d21,
12,trîben,yes,treiben,trieb,trieb,single,high,dwds,unimorph-deu-d226d21,
65,trügen,yes,trügen,trog,trog,single,high,dwds,unimorph-deu-d226d21,
90,varen,yes,fahren,fuhr,fuhr,single,high,dwds,unimorph-deu-d226d21,
19,vâhen,yes,fangen,fing,fing,single,high,dwds,unimorph-deu-d226d21,
20,vëhten,yes,fechten,focht,focht,single,high,dwds,unimorph-deu-d226d21,
100,wahsen,yes,wachsen,wuchs,wuchs|wachste,policy,policy,dwds,unimorph-deu-d226d21,"wachste is the weak homograph wachsen 'apply wax', a different verb from MHG wahsen 'grow'"
273,wallen,yes,wallen,wallte,wallte,single,high,unimorph,unimorph-deu-d226d21,
321,walten,yes,walten,waltete,waltete,single,high,unimorph,unimorph-deu-d226d21,
220,waschen,yes,waschen,wusch,wusch,single,high,dwds,unimorph-deu-d226d21,
221,waten,yes,waten,watete,watete,single,high,dwds,unimorph-deu-d226d21,
101,werben,yes,werben,warb,warb,single,high,dwds,unimorph-deu-d226d21,
16,werfen,yes,werfen,warf,warf,single,high,dwds,unimorph-deu-d226d21,
