form,norm,lemma,grapho,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part,base_lemma,form_normalized,base_form,stem,base_stem,vowel_alternation,cons_alternation
ſpreche·,ſpreche,sprechen,,1425.0,t17281,8120,30.94476816194937,98,0.3734713398855958,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
ſehen·,ſehen,ansehen,,1425.0,t17385,729,2.778169456904075,928,3.5365449327942136,ENHG,22,Central German,1,sehen,sehen,sehen,seh,seh,no,no
czewhet,czewhet,ziehen,,1425.0,t17399,1321,5.034241224376246,7,0.0266765242775425,ENHG,17,Central German,1,ziehen,czewhet,zihen,zewh,zih,yes,yes
czewhet,czewhet,ziehen,,1425.0,t17417,1321,5.034241224376246,7,0.0266765242775425,ENHG,17,Central German,1,ziehen,czewhet,zihen,zewh,zih,yes,yes
Czewhet,Czewhet,ziehen,,1425.0,t17447,1321,5.034241224376246,4,0.0152437281585957,ENHG,17,Central German,1,ziehen,czewhet,zihen,zewh,zih,yes,yes
ſpreche,ſpreche,sprechen,,1425.0,t17481,8120,30.94476816194937,98,0.3734713398855958,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
Spreche,Spreche,sprechen,,1425.0,t17522,8120,30.94476816194937,4,0.0152437281585957,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
Sprícht,Sprícht,sprechen,,1425.0,t17590,8120,30.94476816194937,17,0.0647858446740319,ENHG,27,Central German,1,sprechen,sprícht,spricht,spriχ,spriχ,no,no
wiſſet,wiſſet,wissen,,1425.0,t17622,2994,11.409930526708916,78,0.2972526990926171,ENHG,221,Central German,1,wissen,wiset,wisen,wis,wis,no,no
Sprícht,Sprícht,ansprechen,,1425.0,t17623,24,0.0914623689515744,17,0.0647858446740319,ENHG,27,Central German,1,sprechen,sprícht,spricht,spriχ,spriχ,no,no
ſpreche,ſpreche,sprechen,,1425.0,t17730,8120,30.94476816194937,98,0.3734713398855958,ENHG,27,Central German,1,sprechen,spreche,spricht,spreχ,spriχ,yes,no
geſchen,geſchen,geschehen,,1425.0,t17747,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
ſpríchſtu,ſpríchſ,sprechen,,1425.0,t17769,8120,30.94476816194937,2,0.0076218640792978,ENHG,27,Central German,1,sprechen,spríchs,spricht,spriχs,spriχ,no,no
nympt,nympt,nehmen,,1425.0,t17830,3364,12.819975381379024,123,0.4687446408768192,ENHG,47,Central German,1,nehmen,nympt,nemen,nimp,nem,yes,no
Wiſſet,Wiſſet,wissen,,1425.0,t17880,2994,11.409930526708916,18,0.0685967767136808,ENHG,221,Central German,1,wissen,wiset,wisen,wis,wis,no,no
komen·,komen,kommen,,1425.0,t17890,7651,29.15744103535402,977,3.723280602737012,ENHG,3,Central German,4,kommen,komen,kompt,kom,komp,no,no
czihen,czihen,ziehen,,1425.0,t17908,1321,5.034241224376246,19,0.0724077087533298,ENHG,17,Central German,1,ziehen,czihen,zihen,zih,zih,no,no
kompt,kompt,kommen,,1425.0,t17921,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
kompt,kompt,kommen,,1425.0,t17926,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
kompt,kompt,kommen,,1425.0,t17941,7651,29.15744103535402,421,1.6044023886922023,ENHG,3,Central German,1,kommen,kompt,kompt,komp,komp,no,no
geſchen,geſchen,geschehen,,1425.0,t17952,2302,8.772765555271853,63,0.240088718497883,ENHG,118,Central German,1,geschehen,geschen,geschen,geʃ,geʃ,no,no
be=,begriffen,begreifen,,1425.0,t17996,375,1.4290995148683514,181,0.6897786991764575,ENHG,23,Central German,4,begreifen,begrifen,begreif,begrif,begreif,yes,no
geſchícht,geſchícht,geschehen,,1425.0,t18000,2302,8.772765555271853,20,0.0762186407929787,ENHG,118,Central German,1,geschehen,geschícht,geschen,geʃiχ,geʃ,yes,no
Czewhet,Czewhet,ziehen,,1425.0,t18046,1321,5.034241224376246,4,0.0152437281585957,ENHG,17,Central German,1,ziehen,czewhet,zihen,zewh,zih,yes,yes
Czewhet,Czewhet,ziehen,,1425.0,t18097,1321,5.034241224376246,4,0.0152437281585957,ENHG,17,Central German,1,ziehen,czewhet,zihen,zewh,zih,yes,yes
ge=,gewýnnet,gewinnen,,1425.0,t18156,665,2.534269806366543,11,0.0419202524361383,ENHG,120,Central German,1,gewinnen,gewýnet,gewynen,gewín,gewin,no,yes
