form_id,time,time_since_prev,obs_v,obs_c,dialect_group
kièsen_Ind.Pres.Sg.3,1275,3.0,1,1,Upper German
kièsen_Ind.Pres.Sg.3,1321,46.0,1,1,Central German
kièsen_Ind.Pres.Sg.3,1342,21.0,1,1,Upper German
kièsen_Pl.2,1160,0.0,1,1,Central German
kièsen_Pl.2,1172,12.0,1,1,Upper German
kièsen_Pl.2,1172,0.0,1,1,Upper German
kièsen_Pl.2,1220,48.0,1,1,Upper German
kièsen_Sg.2,1050,0.0,1,1,Upper German
kièsen_Sg.2,1140,90.0,1,1,Upper German
kièsen_Sg.2,1150,10.0,1,1,Upper German
kièsen_Sg.2,1172,22.0,1,1,Upper German
kièsen_Sg.2,1225,53.0,1,1,Central German
kièsen_Sg.2,1321,96.0,1,1,Central German
kièsen_Sg.2,1350,29.0,1,1,Central German
kièsen_Subj.Past.Sg.3,1150,0.0,1,1,Upper German
kièsen_Subj.Past.Sg.3,1190,40.0,0,1,Upper German
kièsen_Subj.Past.Sg.3,1275,85.0,1,1,Upper German
kièsen_Subj.Pres.Sg.3,1140,0.0,1,1,Central German
kièsen_Subj.Pres.Sg.3,1140,0.0,1,1,Central German
kièsen_Subj.Pres.Sg.3,1150,10.0,1,1,Upper German
kièsen_Subj.Pres.Sg.3,1275,125.0,1,0,Upper German
kièsen_Subj.Pres.Sg.3,1293,18.0,1,1,Upper German
leihen_--,1325,0.0,1,0,Upper German
leihen_--,1360,35.0,0,0,Upper German
leihen_--,1384,24.0,1,0,Upper German
leihen_--,1396,12.0,1,0,Central German
leihen_--,1463,67.0,1,0,Upper German
leihen_--,1475,12.0,1,0,Upper German
leihen_--,1497,22.0,1,1,Upper German
leihen_--,1556,59.0,1,1,Upper German
leihen_--,1557,1.0,1,0,Upper German
leihen_--,1599,42.0,1,0,Central German
leihen_--,1664,65.0,1,0,Central German
leihen_--,1678,14.0,1,0,Upper German
leihen_--,1698,20.0,1,1,Upper German
leihen_---,1550,0.0,1,1,Central German
leihen_---,1550,0.0,1,1,Upper German
leihen_---,1570,20.0,1,1,Central German
leihen_---,1571,1.0,1,1,Upper German
leihen_---,1573,2.0,1,1,Upper German
leihen_---,1584,11.0,1,0,Upper German
leihen_---,1591,7.0,1,1,Upper German
