form,norm,lemma,inflClass,infl,date,id,lemma_count,lemma_freq_per_1000,form_count,form_freq_per_1000,corpus,lemma_id,variety,principal_part
choͤment,choͤment,kommen,St,3.Pl.Präs.Ind,1363.0,t15826,7651,29.15744103535402,6,0.0228655922378936,ENHG,3,Upper German,1
gend,gend,gehen,St,3.Pl.Präs.Ind,1363.0,t15887,4922,18.757407499152063,40,0.1524372815859574,ENHG,1,Upper German,1
ziehent,ziehent,ziehen,St,3.Pl.Präs.Ind,1363.0,t15937,1321,5.034241224376246,12,0.0457311844757872,ENHG,17,Upper German,1
vant,vant,finden,St,3.Sg.Prät.Ind,1363.0,t15950,2689,10.24759625461599,86,0.3277401554098086,ENHG,38,Upper German,2
ſprach,ſprach,sprechen,St,3.Sg.Prät.Ind,1363.0,t15955,8120,30.94476816194937,2851,10.86496724503912,ENHG,27,Upper German,2
ſprachen,ſprachen,sprechen,St,3.Pl.Prät.Ind,1363.0,t15970,8120,30.94476816194937,195,0.7431317477315427,ENHG,27,Upper German,3
begern,begern,begehren,St|Sw|Unr,infinitive,1363.0,t15983,1136,4.329218797041193,111,0.423013456401032,ENHG,39,Upper German,1
ſprach,ſprach,sprechen,St,3.Sg.Prät.Ind,1363.0,t15989,8120,30.94476816194937,2851,10.86496724503912,ENHG,27,Upper German,2
geben,geben,geben,St|Unr,infinitive,1363.0,t16000,6017,22.930378082567653,2282,8.696546914478875,ENHG,21,Upper German,1
ſprachen,ſprachen,sprechen,St,3.Pl.Prät.Ind,1363.0,t16002,8120,30.94476816194937,195,0.7431317477315427,ENHG,27,Upper German,3
verſt,verſt,fahren,St,2.Sg.Präs.Ind,1363.0,t16017,855,3.258346893899841,5,0.0190546601982446,ENHG,89,Upper German,1
pat,pat,bitten,St,3.Sg.Prät.Ind,1363.0,t16080,1532,5.838347884742172,78,0.2972526990926171,ENHG,67,Upper German,2
pat,pat,bitten,St,3.Sg.Prät.Ind,1363.0,t16080,1532,5.838347884742172,78,0.2972526990926171,ENHG,67,Upper German,2
ſchraib,ſchraib,schreiben,St,3.Sg.Prät.Ind,1363.0,t16096,1069,4.073886350384714,12,0.0457311844757872,ENHG,26,Upper German,2
ſpricht,ſpricht,sprechen,St,3.Sg.Präs.Ind,1363.0,t16129,8120,30.94476816194937,2138,8.147772700769428,ENHG,27,Upper German,1
beſitz,beſitz,besitzen,St|Sw,infinitive,1363.0,t16165,181,0.6897786991764575,6,0.0228655922378936,ENHG,57,Upper German,1
