form_id,time,time_since_prev,obs_v,obs_c,lemma_id,principal_part_id,dialect_group
kièsen_2,1225,0.0,1,1,6,2,Upper German
kièsen_2,1250,25.0,1,1,6,2,Central German
kièsen_2,1250,0.0,1,1,6,2,Upper German
kièsen_2,1250,0.0,1,1,6,2,Upper German
kièsen_2,1250,0.0,1,1,6,2,Upper German
kièsen_2,1250,0.0,1,1,6,2,Upper German
kièsen_2,1250,0.0,1,1,6,2,Upper German
kièsen_2,1250,0.0,1,1,6,2,Upper German
kièsen_2,1250,0.0,1,1,6,2,Central German
kièsen_2,1269,19.0,1,1,6,2,Central German
kièsen_2,1269,0.0,1,1,6,2,Central German
kièsen_2,1275,6.0,1,1,6,2,Upper German
kièsen_2,1293,18.0,1,1,6,2,Upper German
kièsen_2,1301,8.0,1,1,6,2,Upper German
kièsen_2,1325,24.0,1,1,6,2,Upper German
kièsen_2,1325,0.0,1,1,6,2,Central German
kièsen_2,1325,0.0,1,1,6,2,Central German
kièsen_2,1336,11.0,1,1,6,2,Upper German
kièsen_3,1050,0.0,1,1,6,3,Upper German
kièsen_3,1050,0.0,1,1,6,3,Upper German
kièsen_3,1050,0.0,1,1,6,3,Upper German
kièsen_3,1100,50.0,1,1,6,3,Upper German
kièsen_3,1140,40.0,1,1,6,3,Upper German
kièsen_3,1140,0.0,0,1,6,3,Central German
kièsen_3,1140,0.0,0,1,6,3,Central German
kièsen_3,1140,0.0,1,1,6,3,Upper German
kièsen_3,1150,10.0,1,1,6,3,Upper German
kièsen_3,1150,0.0,0,1,6,3,Upper German
kièsen_3,1150,0.0,1,1,6,3,Upper German
kièsen_3,1190,40.0,0,1,6,3,Upper German
kièsen_3,1210,20.0,0,1,6,3,Upper German
kièsen_3,1225,15.0,1,1,6,3,Central German
kièsen_3,1225,0.0,1,1,6,3,Upper German
kièsen_3,1225,0.0,1,1,6,3,Central German
kièsen_3,1240,15.0,0,1,6,3,Upper German
kièsen_3,1250,10.0,0,1,6,3,Central German
kièsen_3,1275,25.0,1,1,6,3,Upper German
kièsen_3,1275,0.0,1,1,6,3,Upper German
kièsen_3,1293,18.0,0,1,6,3,Upper German
kièsen_3,1301,8.0,0,1,6,3,Upper German
kièsen_3,1301,0.0,0,1,6,3,Upper German
kièsen_3,1325,24.0,0,1,6,3,Upper German
kièsen_3,1347,22.0,1,1,6,3,Upper German
kièsen_4,1050,0.0,1,1,6,4,Upper German
kièsen_4,1125,75.0,1,1,6,4,Upper German
kièsen_4,1127,2.0,1,1,6,4,Upper German
kièsen_4,1130,3.0,1,1,6,4,Upper German
kièsen_4,1130,0.0,1,1,6,4,Upper German
kièsen_4,1140,10.0,1,1,6,4,Upper German
kièsen_4,1140,0.0,1,1,6,4,Central German
kièsen_4,1140,0.0,1,1,6,4,Upper German
kièsen_4,1140,0.0,1,1,6,4,Upper German
kièsen_4,1140,0.0,1,1,6,4,Central German
kièsen_4,1150,10.0,1,1,6,4,Upper German
kièsen_4,1150,0.0,1,0,6,4,Central German
kièsen_4,1150,0.0,1,1,6,4,Upper German
kièsen_4,1150,0.0,1,1,6,4,Upper German
kièsen_4,1150,0.0,1,1,6,4,Upper German
kièsen_4,1150,0.0,1,1,6,4,Upper German
kièsen_4,1150,0.0,1,1,6,4,Upper German
kièsen_4,1150,0.0,1,1,6,4,Upper German
kièsen_4,1160,10.0,1,1,6,4,Upper German
kièsen_4,1160,0.0,1,1,6,4,Upper German
kièsen_4,1160,0.0,1,1,6,4,Upper German
kièsen_4,1172,12.0,1,1,6,4,Upper German
kièsen_4,1172,0.0,1,1,6,4,Upper German
kièsen_4,1172,0.0,1,1,6,4,Upper German
kièsen_4,1172,0.0,1,1,6,4,Central German
kièsen_4,1190,18.0,1,1,6,4,Upper German
kièsen_4,1200,10.0,1,1,6,4,Central German
kièsen_4,1200,0.0,1,1,6,4,Upper German
kièsen_4,1200,0.0,1,1,6,4,Upper German
kièsen_4,1200,0.0,1,1,6,4,Upper German
kièsen_4,1210,10.0,1,1,6,4,Upper German
kièsen_4,1210,0.0,1,1,6,4,Upper German
kièsen_4,1220,10.0,1,1,6,4,Upper German
kièsen_4,1220,0.0,1,1,6,4,Upper German
kièsen_4,1225,5.0,1,1,6,4,Central German
kièsen_4,1225,0.0,1,1,6,4,Central German
kièsen_4,1225,0.0,1,1,6,4,Upper German
kièsen_4,1225,0.0,1,1,6,4,Central German
kièsen_4,1225,0.0,1,1,6,4,Upper German
kièsen_4,1225,0.0,1,1,6,4,Upper German
kièsen_4,1225,0.0,1,1,6,4,Central German
kièsen_4,1240,15.0,1,1,6,4,Upper German
kièsen_4,1250,10.0,1,1,6,4,Upper German
kièsen_4,1250,0.0,1,1,6,4,Central German
kièsen_4,1250,0.0,1,1,6,4,Upper German
kièsen_4,1250,0.0,1,1,6,4,Central German
kièsen_4,1250,0.0,1,1,6,4,Upper German
kièsen_4,1250,0.0,1,1,6,4,Upper German
kièsen_4,1250,0.0,1,1,6,4,Central German
kièsen_4,1250,0.0,1,1,6,4,Upper German
kièsen_4,1250,0.0,1,1,6,4,Central German
kièsen_4,1250,0.0,1,1,6,4,Central German
kièsen_4,1250,0.0,1,1,6,4,Central German
kièsen_4,1269,19.0,1,1,6,4,Central German
kièsen_4,1275,6.0,1,1,6,4,Upper German
kièsen_4,1278,3.0,1,1,6,4,Central German
kièsen_4,1293,15.0,1,1,6,4,Upper German
kièsen_4,1295,2.0,1,1,6,4,Central German
kièsen_4,1298,3.0,1,1,6,4,Central German
kièsen_4,1300,2.0,1,1,6,4,Central German
kièsen_4,1300,0.0,1,1,6,4,Upper German
kièsen_4,1301,1.0,1,1,6,4,Upper German
kièsen_4,1325,24.0,1,1,6,4,Upper German
kièsen_4,1325,0.0,1,1,6,4,Central German
kièsen_4,1325,0.0,1,1,6,4,Central German
kièsen_4,1325,0.0,1,1,6,4,Upper German
kièsen_4,1325,0.0,1,1,6,4,Central German
kièsen_4,1325,0.0,1,1,6,4,Upper German
kièsen_4,1325,0.0,1,1,6,4,Central German
kièsen_4,1325,0.0,1,1,6,4,Upper German
kièsen_4,1342,17.0,1,1,6,4,Upper German
kièsen_4,1350,8.0,1,1,6,4,Central German
kièsen_4,1350,0.0,1,1,6,4,Central German
leihen_1,1325,0.0,1,1,7,1,Upper German
leihen_1,1375,50.0,1,0,7,1,Upper German
leihen_1,1375,0.0,1,0,7,1,Upper German
leihen_1,1378,3.0,1,1,7,1,Central German
leihen_1,1463,85.0,1,1,7,1,Upper German
leihen_1,1463,0.0,1,1,7,1,Upper German
leihen_1,1475,12.0,1,0,7,1,Upper German
leihen_1,1475,0.0,1,1,7,1,Central German
leihen_1,1475,0.0,1,1,7,1,Central German
leihen_1,1475,0.0,1,1,7,1,Central German
leihen_1,1497,22.0,1,1,7,1,Upper German
leihen_1,1498,1.0,1,1,7,1,Upper German
leihen_1,1499,1.0,1,1,7,1,Central German
leihen_1,1525,26.0,1,1,7,1,Central German
leihen_1,1547,22.0,1,1,7,1,Central German
leihen_1,1547,0.0,1,1,7,1,Central German
leihen_1,1550,3.0,1,1,7,1,Central German
leihen_1,1550,0.0,1,1,7,1,Central German
leihen_1,1550,0.0,1,1,7,1,Upper German
leihen_1,1556,6.0,1,1,7,1,Upper German
leihen_1,1556,0.0,1,1,7,1,Upper German
leihen_1,1561,5.0,1,1,7,1,Upper German
leihen_1,1563,2.0,1,1,7,1,Upper German
leihen_1,1570,7.0,1,1,7,1,Central German
leihen_1,1571,1.0,1,1,7,1,Upper German
leihen_1,1571,0.0,1,1,7,1,Upper German
leihen_1,1573,2.0,1,1,7,1,Upper German
leihen_1,1585,12.0,1,1,7,1,Upper German
leihen_1,1591,6.0,1,1,7,1,Upper German
leihen_1,1603,12.0,1,1,7,1,Upper German
leihen_1,1604,1.0,1,1,7,1,Central German
leihen_1,1607,3.0,1,1,7,1,Upper German
leihen_1,1608,1.0,1,1,7,1,Central German
leihen_1,1609,1.0,1,1,7,1,Upper German
leihen_1,1609,0.0,1,1,7,1,Central German
