lemma_id,variety,std_infl,support_tokens,vowel_mode_support,vowel_mode_tied,coda_mode_support,coda_mode_tied
295,Central German,PastSg,6,6,False,6,False
295,Central German,Pres,9,8,False,9,False
295,Upper German,PastPl,38,38,False,38,False
295,Upper German,PastSg,18,18,False,18,False
295,Upper German,Pres,31,20,False,31,False
296,Central German,PastPl,3,3,False,3,False
296,Central German,PastSg,3,3,False,3,False
296,Central German,Pres,7,7,False,7,False
296,Upper German,PastPl,8,8,False,8,False
296,Upper German,PastSg,11,10,False,11,False
296,Upper German,Pres,40,40,False,40,False
297,Central German,PastPl,3,3,False,3,False
297,Central German,PastSg,4,4,False,4,False
297,Central German,Pres,1,1,False,1,False
297,Upper German,PastPl,1,1,False,1,False
297,Upper German,PastSg,13,12,False,13,False
297,Upper German,Pres,26,24,False,24,False
299,Central German,PastSg,1,1,False,1,False
299,Central German,Pres,10,10,False,10,False
299,Upper German,PastPl,2,2,False,2,False
299,Upper German,PastSg,2,2,False,2,False
299,Upper German,Pres,59,57,False,59,False
3,Central German,PastPl,149,148,False,148,False
3,Central German,PastSg,258,251,False,251,False
3,Central German,Pres,109,64,False,109,False
3,Upper German,PastPl,504,248,False,504,False
3,Upper German,PastSg,821,433,False,812,False
3,Upper German,Pres,614,309,False,599,False
30,Central German,PastPl,20,18,False,18,False
30,Central German,PastSg,26,23,False,23,False
30,Central German,Pres,19,14,False,12,False
30,Upper German,PastPl,52,45,False,45,False
30,Upper German,PastSg,77,67,False,67,False
30,Upper German,Pres,41,32,False,33,False
302,Central German,PastPl,1,1,False,1,False
302,Central German,Pres,2,1,True,2,False
302,Upper German,PastSg,7,7,False,7,False
302,Upper German,Pres,4,4,False,4,False
305,Upper German,PastSg,1,1,False,1,False
305,Upper German,Pres,1,1,False,1,False
307,Central German,PastSg,8,8,False,8,False
307,Central German,Pres,2,2,False,2,False
307,Upper German,PastPl,11,11,False,11,False
307,Upper German,PastSg,30,30,False,30,False
307,Upper German,Pres,13,12,False,13,False
308,Central German,PastPl,1,1,False,1,False
308,Central German,PastSg,2,2,False,2,False
308,Central German,Pres,1,1,False,1,False
308,Upper German,PastSg,12,12,False,12,False
308,Upper German,Pres,3,1,True,2,False
31,Central German,PastPl,6,6,False,6,False
31,Central German,PastSg,8,8,False,8,False
31,Upper German,PastPl,37,37,False,36,False
31,Upper German,PastSg,26,26,False,26,False
31,Upper German,Pres,8,6,False,6,False
310,Central German,PastPl,2,2,False,2,False
310,Central German,PastSg,1,1,False,1,False
310,Central German,Pres,4,4,False,4,False
310,Upper German,PastPl,4,4,False,4,False
310,Upper German,Pres,5,5,False,5,False
314,Central German,PastPl,2,2,False,2,False
314,Central German,PastSg,7,7,False,7,False
314,Central German,Pres,25,25,False,25,False
314,Upper German,PastPl,1,1,False,1,False
314,Upper German,PastSg,26,22,False,26,False
314,Upper German,Pres,109,66,False,101,False
317,Upper German,Pres,18,11,False,18,False
318,Central German,PastSg,1,1,False,1,False
318,Central German,Pres,3,2,False,3,False
318,Upper German,PastPl,2,1,True,2,False
318,Upper German,PastSg,2,2,False,2,False
318,Upper German,Pres,8,7,False,6,False
32,Central German,PastPl,11,11,False,11,False
32,Central German,PastSg,23,23,False,23,False
32,Central German,Pres,27,16,False,27,False
32,Upper German,PastPl,105,104,False,104,False
32,Upper German,PastSg,186,186,False,186,False
32,Upper German,Pres,145,109,False,145,False
320,Central German,PastPl,1,1,False,1,False
320,Upper German,PastPl,1,1,False,1,False
321,Central German,PastSg,4,4,False,4,False
321,Central German,Pres,7,6,False,7,False
321,Upper German,PastPl,8,8,False,8,False
321,Upper German,PastSg,6,6,False,6,False
321,Upper German,Pres,20,19,False,20,False
322,Central German,PastPl,1,1,False,1,False
322,Central German,PastSg,2,2,False,2,False
322,Central German,Pres,13,13,False,13,False
322,Upper German,PastPl,2,2,False,2,False
322,Upper German,PastSg,6,6,False,6,False
322,Upper German,Pres,12,12,False,12,False
323,Central German,PastPl,2,2,False,2,False
